age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
55,no,travel_rarely,556.26, research & development ,20,2,technical degree,1,303,2,0,,3,2, laboratory technician ,4,married,,11681.39,3,y,,19,,4,part time,1,12.0,4,3.0,10,,0,8,,1968,53914.11, laboratory technician  -  research & development ,,true
26,yes,travel_rarely,601.3,,-45,4,,1,304,4,0,,2,2, sales executive ,4,single,4856.67,12627.33,1,,,12,3.0,2,,0,,0,,8,,7,4,4856.67,1997,,,,1
31,no,travel_rarely,556.26,,7,3,technical degree,1,305,2,0,,4,2, sales executive ,4,,4492.84,11681.39,4,,,11,3.0,2,part time,1,10.0,3,2.0,8,,7,7,4492.84,1992,53914.11,,,yes
43,no,travel_frequently,253.29,,10,4,life sciences,1,306,3,1,31.66,3,1, laboratory technician ,4,,,5319.17,0,y,no,19,3.0,1,part time,0,,5,3.0,8,,1,7,,1980,24550.0,,,yes
31,no,travel_rarely,556.26,,-13,3,marketing,1,307,4,0,,3,2, sales executive ,4,,,11681.39,4,y,,12,3.0,4,part time,3,13.0,3,3.0,7,,1,7,,1992,53914.11,,,true
32,no,,521.55,,2,4,medical,1,308,1,1,65.19,4,2, research scientist ,4,single,,10952.5,7,y,,16,3.0,3,part time,0,,0,2.0,7,,0,7,,1991,50550.0,,,true
33,no,,483.06,,10,3,,1,309,2,0,,2,2, sales executive ,4,,3901.67,10144.33,3,,no,14,3.0,3,,0,,6,2.0,7,,0,1,3901.67,1990,,,,false
43,no,travel_frequently,542.39, research & development ,10,4,life sciences,1,310,3,1,,2,2, laboratory technician ,3,divorced,,11390.17,1,y,no,11,,2,part time,1,9.0,3,4.0,9,,0,0,,1980,52570.0, laboratory technician  -  research & development ,,0
29,yes,travel_rarely,218.63,,8,4,,1,311,2,0,,1,1, laboratory technician ,1,,1765.83,4591.17,1,y,,11,3.0,4,,0,7.0,4,2.0,7,,0,7,1765.83,1994,,,,false
27,no,,556.26, sales ,8,4,,1,312,2,1,,3,2, sales executive ,2,,4492.84,11681.39,1,y,no,18,3.0,1,part time,1,8.0,3,3.0,8,,0,7,4492.84,1996,53914.11, sales executive  -  sales ,,false
29,no,travel_rarely,556.26,,10,1,,1,313,4,1,,2,2, sales executive ,2,divorced,4492.84,11681.39,1,y,yes,14,3.0,1,part time,2,7.0,2,3.0,7,,1,7,4492.84,1994,53914.11,,,false
37,no,,616.37,,6,3,medical,1,314,3,0,,4,2, research scientist ,1,divorced,4978.33,12943.67,4,,,13,3.0,1,full time,2,13.0,2,3.0,7,,6,7,4978.33,1986,59740.0,,,0
26,no,travel_rarely,556.26,,1,3,,1,315,3,0,69.53,3,2, sales executive ,3,,4492.84,11681.39,1,y,,17,3.0,2,part time,1,,3,3.0,8,,7,7,4492.84,1997,53914.11,,,true
40,no,travel_rarely,290.04,,10,4,life sciences,1,316,4,1,,4,1, laboratory technician ,3,married,2342.59,6090.75,3,y,yes,13,3.0,3,,1,,3,3.0,7,,1,7,2342.59,1983,,,,true
41,yes,,556.26,,4,3,,1,317,1,0,,3,2, sales executive ,2,,4492.84,11681.39,1,,no,18,3.0,3,part time,0,8.0,5,3.0,8,,7,7,4492.84,1982,53914.11,,,false
51,no,travel_rarely,556.26,,14,2,,1,318,3,1,,3,2, sales executive ,4,,4492.84,11681.39,4,,no,11,3.0,3,,1,18.0,2,2.0,7,,0,7,4492.84,1972,,,,yes
37,no,,313.03,,14,3,,1,319,4,1,,3,1, laboratory technician ,1,,,6573.67,1,,no,12,3.0,3,full time,1,,2,2.0,18,,12,17,,1986,30340.0,,,0
56,no,,1363.14,,6,3,life sciences,1,320,3,1,,4,4, sales executive ,1,married,11010.0,28626.0,9,y,no,11,3.0,4,,3,36.0,0,2.0,7,,7,7,11010.0,1967,,,,true
41,no,travel_rarely,865.84, sales ,1,3,marketing,1,321,2,0,,4,3, sales executive ,1,married,,18182.67,1,,,16,3.0,3,part time,1,10.0,2,3.0,10,,0,7,,1982,83920.0, sales executive  -  sales ,,1
46,no,,556.26,,18,3,medical,1,322,3,1,,3,2, manufacturing director ,3,,4492.84,11681.39,2,y,no,14,3.0,3,part time,1,19.0,5,2.0,10,,0,8,4492.84,1977,53914.11,,,false
30,no,non-travel,290.04,,2,3,,1,323,3,1,,3,1, laboratory technician ,4,single,,6090.75,0,y,,14,3.0,3,part time,0,12.0,2,2.0,11,,6,7,,1993,28111.13,,,false
35,no,travel_rarely,1032.49,,16,3,life sciences,1,324,4,0,129.06,3,3, healthcare representative ,3,,8339.32,21682.23,4,,yes,12,3.0,3,part time,0,10.0,2,3.0,8,,0,0,8339.32,1988,100071.84,,,false
48,no,travel_rarely,417.96,,2,5,,1,325,2,1,52.25,3,2, sales executive ,4,married,3375.83,8777.17,2,,no,14,3.0,1,part time,1,14.0,2,3.0,9,,6,7,3375.83,1975,40510.0,,,true
45,no,travel_rarely,495.75,,2,3,other,1,326,4,0,,3,2, sales executive ,2,,4004.17,10410.83,0,,no,19,3.0,2,part time,1,,3,4.0,8,,3,7,4004.17,1978,48050.0,,,true
26,yes,travel_frequently,282.8,,17,4,life sciences,1,327,2,1,,3,1, human resources ,3,,2284.17,5938.83,0,y,yes,11,3.0,2,,1,8.0,2,,7,,1,0,2284.17,1997,,,,true
41,no,,556.26,,2,4,other,1,328,1,1,,2,2, healthcare representative ,3,single,,11681.39,2,y,yes,17,3.0,1,part time,0,10.0,3,3.0,8,,0,7,,1982,53914.11,,,1
34,no,,550.64,,21,4,,1,329,4,0,,4,2, sales executive ,4,single,,11563.5,1,,,12,3.0,4,part time,0,10.0,3,3.0,10,,5,7,,1989,53370.0,,,true
31,no,travel_rarely,556.26,,6,4,medical,1,330,1,0,69.53,4,2, sales executive ,4,divorced,,11681.39,4,y,no,22,4.0,4,part time,2,13.0,4,4.0,7,,5,7,,1992,53914.11,,,1
43,no,travel_frequently,556.26,,9,5,,1,331,4,0,,3,2, laboratory technician ,3,divorced,,11681.39,3,y,,13,3.0,2,part time,1,10.0,3,3.0,8,,4,7,,1980,53914.11,,,0
53,no,,556.26, sales ,1,1,,1,332,4,1,,3,2, sales executive ,1,single,,11681.39,7,y,,20,4.0,4,part time,0,18.0,2,4.0,14,,8,10,,1970,53914.11, sales executive  -  sales ,,false
37,no,travel_rarely,973.35,,3,3,other,1,333,3,0,,3,3, manufacturing director ,3,married,7861.67,20440.33,1,,no,15,,3,part time,1,,2,3.0,10,,7,8,7861.67,1986,94340.0,,,1
54,no,,1032.49,,19,4,,1,334,3,0,,3,3, human resources ,2,,8339.32,21682.23,2,y,,15,,3,part time,1,16.0,1,4.0,9,,7,1,8339.32,1969,100071.84,,,true
38,no,travel_rarely,556.26, sales ,7,4,marketing,1,335,4,1,,2,2, sales executive ,4,,4492.84,11681.39,0,,no,20,,1,part time,0,,2,3.0,7,,0,5,4492.84,1985,53914.11, sales executive  -  sales ,,1
29,no,,290.04, research & development ,1,4,life sciences,1,336,2,0,36.25,1,1, research scientist ,4,divorced,2342.59,6090.75,1,y,,18,3.0,4,part time,1,10.0,5,3.0,10,,2,8,2342.59,1994,28111.13, research scientist  -  research & development ,,yes
34,no,,1032.49,,9,3,medical,1,337,4,1,129.06,2,3, healthcare representative ,2,,,21682.23,1,,,14,3.0,2,part time,0,9.0,3,4.0,8,,7,7,,1989,100071.84,,,0
39,no,,556.26,,2,4,technical degree,1,338,4,1,,2,2, healthcare representative ,3,single,4492.84,11681.39,1,,no,11,3.0,1,part time,0,20.0,4,3.0,20,7.0,11,10,4492.84,1984,53914.11,,,0
32,no,,556.73,,10,3,marketing,1,339,4,0,,3,2, sales executive ,4,,4496.67,11691.33,1,,,12,3.0,4,full time,0,10.0,2,2.0,10,,0,8,4496.67,1991,53960.0,,,yes
38,no,travel_rarely,556.26,,1,4,life sciences,1,340,2,1,,4,2, healthcare representative ,4,,4492.84,11681.39,0,y,,13,3.0,3,part time,0,10.0,4,,9,,1,8,4492.84,1985,53914.11,,,1
27,no,travel_rarely,1032.49,,1,2,life sciences,1,341,3,1,129.06,3,3, manufacturing director ,1,married,8339.32,21682.23,1,,,11,3.0,4,part time,0,9.0,3,3.0,9,,0,7,8339.32,1996,100071.84,,,false
32,no,travel_rarely,1151.33,,3,2,life sciences,1,342,3,1,143.92,3,3, research director ,4,single,9299.17,24177.83,3,,,15,3.0,4,full time,0,10.0,6,3.0,7,,7,7,9299.17,1991,111590.0,,,false
47,no,,511.75,,-35,4,marketing,1,343,4,0,,3,2, sales executive ,1,single,4133.33,10746.67,2,,,12,3.0,4,,0,20.0,2,3.0,7,,1,7,4133.33,1976,,,,false
27,no,travel_frequently,907.21,,10,2,,1,344,4,0,113.4,3,3, manufacturing director ,1,,7327.5,19051.5,1,y,no,21,4.0,3,part time,2,9.0,4,2.0,9,,1,7,7327.5,1996,87930.0,,,1
41,no,,1979.82,,1,3,,1,345,4,0,,2,5, manager ,3,,,41576.17,1,y,no,12,,2,full time,1,22.0,3,3.0,22,,2,10,,1982,191890.0,,,false
28,yes,,228.63, research & development ,-35,2,,1,346,35,1,,1,1, research scientist ,2,,1846.67,4801.33,7,,yes,13,3.0,4,part time,0,10.0,4,3.0,7,,3,7,1846.67,1995,22160.0, research scientist  -  research & development ,,1
36,no,,1208.48, research & development ,8,3,,1,347,1,1,,4,3, research director ,1,married,9760.83,25378.17,9,y,,14,3.0,1,full time,1,10.0,2,3.0,8,,0,5,9760.83,1987,117130.0, research director  -  research & development ,,false
30,no,,547.24,,27,5,marketing,1,348,3,0,,3,2, sales executive ,4,divorced,4420.0,11492.0,7,y,no,23,,4,,1,10.0,2,2.0,8,,7,7,4420.0,1993,53040.0,,,true
56,no,travel_rarely,1145.55,,9,3,,1,349,3,0,143.19,3,4, healthcare representative ,4,married,9252.5,24056.5,7,,no,11,3.0,3,full time,0,30.0,1,2.0,10,,1,1,9252.5,1967,111030.0,,,false
45,no,travel_rarely,684.25,,2,2,,1,350,2,0,,1,2, sales representative ,3,single,5526.67,14369.33,0,,no,13,3.0,1,full time,0,9.0,3,3.0,8,,3,1,5526.67,1978,66320.0,,,1
36,no,non-travel,782.79,,8,4,,1,351,1,0,,2,3, sales executive ,1,single,6322.5,16438.5,1,y,,15,3.0,2,part time,0,10.0,1,3.0,10,,0,9,6322.5,1987,75870.0,,,false
29,no,,447.26,,27,3,medical,1,352,2,1,,3,2, healthcare representative ,3,married,3612.5,9392.5,4,,no,12,3.0,1,part time,1,11.0,3,2.0,8,,1,1,3612.5,1994,43350.0,,,1
38,no,,616.98,,2,4,life sciences,1,353,1,1,,4,2, manufacturing director ,1,single,4983.33,12956.67,6,,,12,3.0,4,full time,0,17.0,2,3.0,15,,4,12,4983.33,1985,59800.0,,,true
40,no,,437.87,,-13,2,medical,1,354,13,1,,4,2, healthcare representative ,2,,3536.67,9195.33,1,y,no,24,4.0,4,,1,8.0,2,3.0,8,,3,7,3536.67,1983,,,,1
42,no,travel_frequently,1973.98,,8,3,,1,355,2,0,,3,5, manager ,4,,15943.72,41453.67,1,,no,13,3.0,2,,1,24.0,4,2.0,24,,14,9,15943.72,1981,,,,1
36,no,travel_rarely,539.4,,1,3,other,1,356,3,1,,3,2, manufacturing director ,2,,4356.67,11327.33,0,,,15,3.0,1,part time,1,,2,3.0,9,,0,5,4356.67,1987,52280.0,,,false
29,no,travel_rarely,278.57,,23,2,,1,357,3,0,,4,1, research scientist ,3,married,2250.0,5850.0,1,,,24,4.0,3,part time,1,10.0,3,3.0,10,,0,7,2250.0,1994,27000.0,,,1
fifty-five,yes,,556.26,,2,1,medical,1,358,3,0,69.53,3,2, sales executive ,4,single,,11681.39,4,y,,16,3.0,3,part time,0,,3,2.0,9,,7,3,,1968,53914.11,,,false
28,no,,556.26, sales ,2,4,,1,359,2,1,,3,2, sales executive ,2,,,11681.39,1,y,,20,4.0,1,part time,0,8.0,2,3.0,8,,7,5,,1995,53914.11, sales executive  -  sales ,,1
26,yes,,244.11,,5,2,medical,1,360,3,1,,2,1, research scientist ,3,married,1971.67,5126.33,1,,,14,3.0,1,part time,1,8.0,2,3.0,8,,1,7,1971.67,1997,23660.0,,,1
44,no,,290.04,,9,2,,1,361,2,0,,3,1, research scientist ,1,,2342.59,6090.75,1,,yes,13,3.0,4,,0,8.0,0,3.0,8,,7,1,2342.59,1979,,,,1
41,yes,,290.04, research & development ,2,4,life sciences,1,362,2,1,,1,1, laboratory technician ,4,divorced,2342.59,6090.75,4,,yes,13,3.0,3,,1,,1,2.0,7,,1,0,2342.59,1982,, laboratory technician  -  research & development ,,true
31,no,travel_rarely,240.29,,7,4,,1,363,2,0,,2,1, sales representative ,3,,1940.83,5046.17,3,,,15,,2,part time,0,,2,4.0,7,,5,2,1940.83,1992,23290.0,,,0
26,no,travel_frequently,443.03, sales ,-28,3,medical,1,364,28,0,,2,2, sales executive ,1,,,9303.67,1,y,,12,3.0,2,part time,0,,2,3.0,7,,0,7,,1997,42940.0, sales executive  -  sales ,,yes
31,no,,556.26,,12,3,medical,1,365,4,1,,3,2, healthcare representative ,4,,,11681.39,0,,,11,3.0,3,part time,2,10.0,2,1.0,9,,8,5,,1992,53914.11,,,false
32,no,,693.85,,3,4,medical,1,366,3,1,,3,2, manufacturing director ,1,married,,14570.83,1,,,12,3.0,3,full time,1,8.0,2,4.0,8,,6,3,,1991,67250.0,,,0
36,yes,travel_rarely,1065.28,,3,1,life sciences,1,367,3,0,,2,3, sales executive ,4,married,8604.17,22370.83,1,y,,11,,1,full time,1,,6,3.0,16,,3,7,8604.17,1987,103250.0,,,0
45,no,non-travel,458.82,,-47,2,,1,368,47,0,,3,2, laboratory technician ,2,,,9635.17,1,,,12,3.0,2,part time,0,,5,2.0,9,,0,8,,1978,44470.0,,,1
39,no,travel_rarely,1032.49,,2,5,,1,369,1,0,129.06,4,3, sales executive ,3,single,,21682.23,0,,no,18,3.0,4,part time,0,9.0,3,3.0,8,,0,7,,1984,100071.84,,,0
36,no,non-travel,556.26,,8,4,technical degree,1,370,1,0,,3,2, sales executive ,4,divorced,4492.84,11681.39,4,,no,13,,4,part time,2,12.0,3,3.0,7,,0,7,4492.84,1987,53914.11,,,yes
46,no,,1118.93,,7,2,medical,1,371,4,0,139.87,3,3, manufacturing director ,3,,9037.5,23497.5,6,y,,13,3.0,2,full time,1,,3,3.0,8,,0,7,9037.5,1977,108450.0,,,0
54,no,travel_rarely,1032.49,,17,3,technical degree,1,372,3,1,,3,3, manufacturing director ,3,,8339.32,21682.23,8,,,11,,3,part time,1,22.0,2,3.0,10,,0,8,8339.32,1969,100071.84,,,true
30,no,travel_rarely,1032.49,,8,2,,1,373,2,1,,4,3, research director ,1,,8339.32,21682.23,0,y,yes,12,3.0,3,part time,3,,4,2.0,8,,1,7,8339.32,1993,100071.84,,,true
26,no,,564.57,,2,2,medical,1,374,4,0,70.57,4,2, manufacturing director ,4,married,,11856.0,1,,,12,3.0,2,full time,0,,2,3.0,8,,1,3,,1997,54720.0,,,0
55,no,travel_frequently,658.77,,18,4,medical,1,375,3,0,,3,2, healthcare representative ,2,married,5320.83,13834.17,3,,,14,3.0,4,full time,2,,3,3.0,8,,6,7,5320.83,1968,63850.0,,,1
50,no,non-travel,654.85, sales ,1,3,life sciences,1,376,4,1,,3,2, sales executive ,3,married,,13751.83,0,y,,12,3.0,1,full time,1,,3,3.0,18,,0,13,,1973,63470.0, sales executive  -  sales ,,true
32,no,non-travel,290.04,,29,4,,1,377,4,1,,3,1, laboratory technician ,3,single,,6090.75,9,,no,12,3.0,2,part time,0,10.0,2,3.0,8,,7,7,,1991,28111.13,,,1
53,no,travel_frequently,776.39,,2,3,marketing,1,378,3,1,97.05,2,3, sales executive ,2,,,16304.17,2,,,12,3.0,1,part time,1,30.0,2,,15,,6,12,,1970,75250.0,,,1
40,no,travel_rarely,556.26,,26,3,,1,379,3,0,,3,2, sales executive ,1,married,4492.84,11681.39,1,,,14,3.0,2,part time,1,8.0,3,2.0,7,,7,5,4492.84,1983,53914.11,,,0
55,no,,1582.77,,2,1,,1,380,3,0,,2,4, manager ,1,single,12783.92,33238.2,7,,no,15,3.0,2,,0,,3,4.0,9,,6,2,12783.92,1968,,,,true
28,yes,non-travel,1032.49,,24,2,,1,381,2,0,,2,3, healthcare representative ,1,single,8339.32,21682.23,1,y,no,12,3.0,1,part time,0,10.0,2,2.0,10,,1,9,8339.32,1995,100071.84,,,false
28,no,travel_rarely,377.62,,10,3,other,1,382,3,1,,3,2, research scientist ,3,single,3050.0,7930.0,3,,no,13,3.0,4,,0,,4,4.0,8,,1,7,3050.0,1995,,,,yes
35,yes,,1032.49,,4,3,technical degree,1,383,4,0,,3,3, sales executive ,1,,,21682.23,0,y,,22,4.0,1,part time,0,9.0,2,3.0,8,,4,7,,1988,100071.84,,,yes
33,yes,travel_frequently,556.26, research & development ,-36,4,medical,1,384,36,1,69.53,2,2, research scientist ,3,single,4492.84,11681.39,1,,no,22,4.0,2,part time,0,14.0,4,3.0,13,,3,8,4492.84,1990,53914.11, research scientist  -  research & development ,,1
25,yes,,290.04, research & development ,4,1,technical degree,1,385,4,0,,3,1, laboratory technician ,4,married,,6090.75,1,y,,15,,2,part time,1,7.0,3,4.0,7,,5,6,,1998,28111.13, laboratory technician  -  research & development ,,yes
38,no,,901.75, sales ,10,4,,1,386,3,0,,2,3, sales executive ,3,,7283.33,18936.67,0,,yes,14,3.0,2,part time,2,9.0,2,,8,,2,7,7283.33,1985,87400.0, sales executive  -  sales ,,true
28,no,,1032.49,,-12,3,,1,387,12,1,,3,3, manufacturing director ,2,,,21682.23,0,,,17,3.0,2,part time,3,,3,2.0,9,,1,7,,1995,100071.84,,,true
43,no,travel_frequently,1032.49,,27,3,life sciences,1,388,3,1,129.06,3,3, manufacturing director ,1,married,,21682.23,8,,no,11,3.0,3,part time,1,18.0,1,3.0,8,,0,1,,1980,100071.84,,,false
39,yes,travel_frequently,1582.77, research & development ,2,3,life sciences,1,389,1,0,197.85,3,4, healthcare representative ,4,,12783.92,33238.2,7,,no,11,3.0,4,full time,3,21.0,4,3.0,18,,11,5,12783.92,1984,153407.07, healthcare representative  -  research & development ,,0
40,no,travel_rarely,1973.98,,14,3,,1,390,3,0,,2,5, research director ,3,,,41453.67,1,y,no,14,,1,full time,0,,2,,20,,4,9,,1983,191324.62,,,yes
29,no,travel_rarely,556.26,,8,1,medical,1,391,2,0,,2,2, manufacturing director ,4,married,4492.84,11681.39,1,,,15,3.0,3,,1,10.0,2,2.0,10,,1,2,4492.84,1994,,,,yes
40,no,,1392.75,,-32,4,,1,392,2,1,,3,3, research director ,3,,11249.17,29247.83,9,,no,17,3.0,3,full time,0,20.0,3,2.0,18,,2,13,11249.17,1983,134990.0,,,0
26,no,travel_rarely,290.04,,3,4,,1,393,1,0,,4,1, laboratory technician ,4,,2342.59,6090.75,1,y,,22,4.0,2,part time,1,8.0,2,3.0,8,,0,7,2342.59,1997,28111.13,,,true
35,no,travel_rarely,1032.49,,2,3,,1,394,3,0,,2,3, manufacturing director ,2,divorced,8339.32,21682.23,2,,no,18,3.0,2,,1,15.0,2,4.0,7,,6,4,8339.32,1988,,,,yes
53,no,,1973.98, research & development ,7,2,medical,1,395,4,1,,3,5, manager ,3,divorced,15943.72,41453.67,3,y,no,18,3.0,2,full time,1,26.0,6,3.0,7,,4,7,15943.72,1970,191324.62, manager  -  research & development ,,0
35,no,,556.26,,17,4,life sciences,1,396,3,0,,3,2, sales executive ,1,,,11681.39,3,y,,15,3.0,4,part time,3,15.0,2,3.0,7,,1,7,,1988,53914.11,,,1
33,no,,556.26,,25,3,medical,1,397,2,1,,3,2, sales executive ,3,,4492.84,11681.39,1,,no,12,3.0,1,part time,1,,3,2.0,10,,0,1,4492.84,1990,53914.11,,,1
36,no,,290.04, research & development ,6,4,life sciences,1,398,3,0,,1,1, laboratory technician ,3,divorced,,6090.75,1,y,no,14,3.0,3,part time,1,,4,3.0,7,,1,7,,1987,28111.13, laboratory technician  -  research & development ,,1
30,no,travel_rarely,360.18,,7,4,life sciences,1,399,3,0,45.02,3,2, laboratory technician ,3,divorced,2909.17,7563.83,1,,,13,,1,part time,3,,4,2.0,10,,8,9,2909.17,1993,34910.0,,,true
60,no,,538.57,,-29,4,,1,400,29,0,,4,2, sales executive ,4,divorced,4350.0,11310.0,0,,,18,3.0,2,,1,12.0,3,3.0,11,,1,9,4350.0,1963,,,,true
32,no,,556.26,,2,2,life sciences,1,401,4,1,69.53,3,2, research scientist ,3,single,,11681.39,4,y,yes,14,3.0,4,part time,0,10.0,2,3.0,8,,0,7,,1991,53914.11,,,0
36,no,,1057.75,,1,3,technical degree,1,402,3,1,,1,3, manufacturing director ,1,divorced,8543.33,22212.67,2,,yes,21,4.0,3,full time,1,17.0,2,3.0,7,,7,7,8543.33,1987,102520.0,,,yes
27,no,travel_rarely,290.04,,14,3,,1,403,1,0,,3,1, research scientist ,1,,2342.59,6090.75,1,,,14,3.0,4,,2,,3,2.0,9,,6,8,2342.59,1996,,,,yes
43,no,,2036.67, research & development ,3,3,life sciences,1,404,3,0,,1,5, research director ,4,,16450.0,42770.0,3,y,no,14,3.0,2,full time,1,,2,3.0,8,,0,7,16450.0,1980,197400.0, research director  -  research & development ,,yes
29,no,travel_rarely,1582.77,,1,3,,1,405,4,1,,2,4, research director ,4,divorced,,33238.2,3,y,no,14,3.0,2,full time,2,9.0,2,2.0,7,,1,7,,1994,153407.07,,,true
59,no,,1032.49,,-24,4,,1,406,24,0,,3,3, manufacturing director ,4,single,8339.32,21682.23,6,,no,12,3.0,4,part time,0,,6,2.0,9,,5,4,8339.32,1964,100071.84,,,false
43,no,travel_rarely,1032.49,,4,4,marketing,1,407,4,1,,2,3, sales executive ,4,single,8339.32,21682.23,3,,no,14,3.0,4,part time,0,23.0,3,4.0,21,,15,17,8339.32,1980,100071.84,,,yes
44,yes,travel_rarely,1032.49,,15,3,medical,1,408,1,1,129.06,3,3, healthcare representative ,4,married,8339.32,21682.23,1,y,,11,3.0,4,part time,1,,2,3.0,10,,0,5,8339.32,1979,100071.84,,,yes
29,yes,,290.04, research & development ,7,3,technical degree,1,409,2,1,,3,1, laboratory technician ,3,divorced,2342.59,6090.75,3,,yes,13,3.0,1,,2,10.0,2,3.0,7,,7,7,2342.59,1994,, laboratory technician  -  research & development ,,1
32,no,travel_rarely,640.61,,8,3,,1,410,3,0,,4,2, sales executive ,4,married,5174.17,13452.83,1,,,15,3.0,3,full time,2,,4,4.0,10,,0,8,5174.17,1991,62090.0,,,false
36,no,travel_rarely,731.92,,10,4,technical degree,1,411,4,1,,3,3, healthcare representative ,3,married,,15370.33,3,y,no,12,3.0,1,part time,0,,0,3.0,7,,1,7,,1987,70940.0,,,true
fifty-two,yes,,1032.49, sales ,5,3,,1,412,2,0,,3,3, sales executive ,2,single,8339.32,21682.23,9,y,yes,19,3.0,3,part time,0,,2,2.0,8,,7,7,8339.32,1971,100071.84, sales executive  -  sales ,,yes
39,no,travel_rarely,467.79,,-33,2,,1,413,1,0,,3,2, manufacturing director ,3,single,3778.33,9823.67,0,,,11,3.0,1,,0,,6,,8,,1,7,3778.33,1984,45340.0,,,true
34,no,,876.98,,9,3,,1,414,4,0,,3,3, healthcare representative ,4,,7083.33,18416.67,0,,,11,,4,part time,1,10.0,0,2.0,9,,1,6,7083.33,1989,85000.0,,,true
38,no,,556.26,,2,2,life sciences,1,415,2,1,,3,2, sales executive ,1,,,11681.39,3,,,15,3.0,4,,1,11.0,3,3.0,7,,1,7,,1985,53914.11,,,true
36,no,travel_frequently,478.63, sales ,-12,3,marketing,1,416,12,1,,4,2, sales executive ,1,married,3865.83,10051.17,2,y,no,16,3.0,4,part time,1,,2,2.0,15,,6,13,3865.83,1987,46390.0, sales executive  -  sales ,,1
35,no,,553.33,,1,3,,1,417,4,1,,2,2, laboratory technician ,4,,4469.17,11619.83,0,y,no,12,3.0,2,part time,1,10.0,0,3.0,9,,0,0,4469.17,1988,53630.0,,,0
55,yes,,1582.77,,13,4,,1,418,1,0,,4,4, sales executive ,3,,12783.92,33238.2,6,y,,17,3.0,3,full time,0,,2,2.0,19,,3,8,12783.92,1968,153407.07,,,true
34,no,,556.26,,29,3,,1,419,2,0,,3,2, laboratory technician ,3,,4492.84,11681.39,4,y,,13,3.0,1,part time,2,10.0,1,3.0,8,,7,7,4492.84,1989,53914.11,,,0
43,no,,421.06,,6,3,medical,1,420,1,1,,2,2, research scientist ,3,single,3400.83,8842.17,1,,yes,14,3.0,1,part time,0,20.0,3,1.0,20,,1,8,3400.83,1980,40810.0,,,false
42,no,travel_rarely,1582.77,,10,3,human resources,1,421,3,1,,3,4, manager ,1,married,12783.92,33238.2,0,,,14,3.0,3,full time,1,21.0,5,3.0,20,,0,9,12783.92,1981,153407.07,,,false
26,no,travel_rarely,369.16,,7,3,,1,422,3,0,,4,1, laboratory technician ,1,single,,7752.33,0,,no,12,3.0,4,full time,0,8.0,2,3.0,7,,0,7,,1997,35780.0,,,true
29,yes,,1032.49,,14,1,other,1,423,3,1,,3,3, healthcare representative ,4,single,8339.32,21682.23,0,,yes,12,3.0,1,part time,0,,1,3.0,8,,7,7,8339.32,1994,100071.84,,,1
54,no,,1787.81, research & development ,1,3,,1,424,4,1,223.48,3,4, research director ,4,,,37544.0,6,,,19,3.0,4,full time,0,29.0,3,2.0,20,,12,7,,1969,173280.0, research director  -  research & development ,,0
55,no,,1582.77,,1,4,,1,425,2,0,,4,4, research director ,4,divorced,12783.92,33238.2,2,y,no,13,3.0,4,full time,2,31.0,4,4.0,7,,0,0,12783.92,1968,153407.07,,,true
40,no,non-travel,556.26,,9,4,other,1,426,3,0,,3,2, laboratory technician ,3,,4492.84,11681.39,3,y,no,11,3.0,3,part time,2,11.0,2,,8,,0,7,4492.84,1983,53914.11,,,yes
thirty-one,no,,1113.56,,8,2,,1,427,1,0,,3,3, sales executive ,4,divorced,8994.17,23384.83,1,,,18,,1,full time,1,13.0,5,3.0,13,,9,9,8994.17,1992,107930.0,,,true
46,yes,,1032.49,,9,3,marketing,1,428,1,0,,3,3, sales executive ,4,divorced,8339.32,21682.23,4,,no,11,3.0,1,,1,28.0,1,4.0,7,,4,3,8339.32,1977,,,,yes
45,no,travel_rarely,1119.55,,20,3,medical,1,429,2,0,,1,3, healthcare representative ,1,,9042.5,23510.5,2,y,yes,18,3.0,2,full time,1,,2,3.0,7,,0,7,9042.5,1978,108510.0,,,false
49,no,travel_rarely,1079.83,,7,4,life sciences,1,430,3,0,134.98,3,3, healthcare representative ,2,divorced,,22676.33,3,y,,14,3.0,2,full time,2,29.0,3,3.0,8,,0,7,,1974,104660.0,,,0
29,no,travel_rarely,556.26,,19,3,,1,431,3,0,69.53,2,2, sales executive ,3,,4492.84,11681.39,1,y,,14,3.0,3,part time,2,10.0,3,3.0,10,,0,4,4492.84,1994,53914.11,,,1
29,yes,,243.7,,1,4,technical degree,1,432,1,0,,2,1, research scientist ,1,single,,5117.67,6,y,no,13,3.0,3,part time,0,,2,1.0,9,,0,7,,1994,23620.0,,,1
29,no,,556.26,,8,1,other,1,433,3,1,,1,2, healthcare representative ,1,,,11681.39,3,,no,13,3.0,3,part time,1,9.0,3,3.0,7,,0,7,,1994,53914.11,,,1
